DataType=double
version=2
endheader
time,height,/Dennis/vastus|activation
0,1,0.05
0.2,0.9876856633852471,0.3645465813468627
0.4,0.9837284521148991,0.4340040698018413
0.6000000000000001,0.9868600930947582,0.5034613347419888
0.8,0.9998909181997699,0.5729185996810472
1,1.045117495396324,0.6423758646201054
1.2,1.068305325955922,0.7118331295591641
1.4,1.067763809121886,0.7812903944982222
1.6,1.068065739685716,0.8507476594372806
1.8,1.067946517400931,0.9202049243763391
2,1.068088225706636,0.9896473505975554
2.2,1.068021952670635,0.9177523192387493
2.4,1.067958370315424,0.8240153237133229
2.6,1.067868545441581,0.7304359083994153
2.8,1.06777521722427,0.6370673898297081
3,1.067667113417224,0.5439710315917647
3.2,1.067542159385781,0.4512332871416706
3.4,1.067391886215058,0.3589795195316941
3.6,1.067202579910561,0.2673971229268349
3.8,1.066940603784726,0.1767757929661272
4,1.066498728960123,0.08757988417034528
4.2,1.065314073517247,0.02141271791360917
4.4,1.060172427224713,0.0114135964858345
4.600000000000001,0.9540160824166412,0.0101795235442779
4.800000000000001,0.4871786401280481,0.01002287055393915
5,0.3591963628661002,0.01000291477358436
