DataType=double
version=2
endheader
time,height,/Dennis/vastus|activation
0,1,0.05
0.2,0.8904284668666531,0.0881604467604519
0.4,0.4895730543136282,0.1797193436629738
0.6000000000000001,0.3541856372409348,0.2712782421676413
0.8,0.4503999489494709,0.3628371406723089
1,0.3669277954790148,0.4543960391769764
1.2,0.3884610593851289,0.5313347247195532
1.4,0.3811159172143522,0.5743697917395392
1.6,0.3844019484792809,0.6173294068107106
1.8,0.3881108623385404,0.6602890187178954
2,0.3918060513495341,0.7032486306248688
2.2,0.398594416644689,0.7462082425318419
2.4,0.4104257650920685,0.7663805534619212
2.6,0.4265288245563957,0.7728060828776007
2.8,0.4451355363384841,0.7792210780126058
3,0.46586553955796,0.7856360698344751
3.2,0.4886445321961597,0.7920510616552529
3.4,0.5134679343198052,0.7984660534760304
3.6,0.5408649542369836,0.8048810452968076
3.8,0.5730863846453238,0.8112882619191573
4,0.6120556181587521,0.8119831750980113
4.2,0.6579354747007645,0.8119834709482299
4.4,0.7112399024367582,0.8119834710743264
4.600000000000001,0.7738444026132613,0.8119834710743801
4.800000000000001,0.8494761560655396,0.8119834710743802
5,0.9446127193792341,0.8119834710743802
